Sale_ID,Date,Store_ID,Product_ID,Customer_ID,Quantity,Price,Total Price,Discount_Percent,Discount_Amount,Total Revenue,Region,Channel,Payment_Mode
SALE00001,2/28/2023,STORE007,PROD0296,CUST0152,4,486.49,1945.96,15,291.894,1654.066,South,In-Store,UPI
SALE00002,2/19/2024,STORE015,PROD0267,CUST0998,1,4567.91,4567.91,15,685.1865,3882.7235,East,Online,Cash
SALE00003,5/8/2024,STORE011,PROD0022,CUST0413,3,747.73,2243.19,20,448.638,1794.552,North,Online,Cash
SALE00004,9/21/2024,STORE006,PROD0179,CUST0711,2,1413.37,2826.74,0,0,2826.74,North,In-Store,Cash
SALE00005,8/15/2024,STORE045,PROD0265,CUST0586,4,229.53,918.12,5,45.906,872.214,North,Online,Cash
SALE00006,2/25/2022,STORE032,PROD0009,CUST0279,5,1088.14,5440.7,0,0,5440.7,West,In-Store,Card
SALE00007,6/17/2023,STORE050,PROD0191,CUST0714,4,138,552,15,82.8,469.2,East,In-Store,Card
SALE00008,2/16/2024,STORE027,PROD0118,CUST0373,4,4751.94,19007.76,10,1900.776,17106.984,North,In-Store,Cash
SALE00009,4/17/2022,STORE021,PROD0066,CUST0721,1,3413,3413,10,341.3,3071.7,East,Online,UPI
SALE00010,3/24/2022,STORE050,PROD0166,CUST0123,1,2723.89,2723.89,0,0,2723.89,East,Online,Card
SALE00011,5/4/2023,STORE011,PROD0101,CUST0064,1,208,208,5,10.4,197.6,North,In-Store,UPI
SALE00012,3/23/2023,STORE039,PROD0268,CUST0243,1,2361.37,2361.37,15,354.2055,2007.1645,East,In-Store,Cash
SALE00013,8/23/2022,STORE010,PROD0081,CUST0109,2,3099.1,6198.2,5,309.91,5888.29,East,In-Store,Card
SALE00014,10/1/2023,STORE017,PROD0035,CUST0494,5,3203.2,16016,20,3203.2,12812.8,North,In-Store,Cash
SALE00015,5/13/2023,STORE034,PROD0138,CUST0453,2,3215.37,6430.74,0,0,6430.74,North,In-Store,UPI
SALE00016,3/26/2022,STORE029,PROD0157,CUST0260,5,4966.04,24830.2,10,2483.02,22347.18,East,In-Store,UPI
SALE00017,11/30/2023,STORE012,PROD0098,CUST0575,3,1763.4,5290.2,0,0,5290.2,South,In-Store,Cash
SALE00018,1/12/2024,STORE022,PROD0139,CUST0613,1,4911.39,4911.39,15,736.7085,4174.6815,West,Online,Cash
SALE00019,7/8/2023,STORE045,PROD0061,CUST0266,2,2269.98,4539.96,20,907.992,3631.968,North,In-Store,Cash
SALE00020,7/4/2023,STORE025,PROD0074,CUST0595,4,1038.93,4155.72,10,415.572,3740.148,North,Online,Card
SALE00021,5/15/2023,STORE010,PROD0277,CUST0870,3,2839.34,8518.02,15,1277.703,7240.317,East,In-Store,Cash
SALE00022,10/28/2023,STORE004,PROD0039,CUST0154,1,2362.39,2362.39,5,118.1195,2244.2705,East,In-Store,Card
SALE00023,11/29/2023,STORE050,PROD0222,CUST0378,3,1555.14,4665.42,10,466.542,4198.878,East,In-Store,UPI
SALE00024,1/27/2023,STORE015,PROD0259,CUST0306,1,517.21,517.21,0,0,517.21,East,Online,UPI
SALE00025,5/8/2023,STORE021,PROD0037,CUST0526,4,3204.05,12816.2,15,1922.43,10893.77,East,In-Store,Cash
SALE00026,3/30/2023,STORE021,PROD0228,CUST0581,1,264.06,264.06,15,39.609,224.451,East,Online,Cash
SALE00027,12/23/2024,STORE034,PROD0196,CUST0493,5,2148.16,10740.8,10,1074.08,9666.72,North,In-Store,UPI
SALE00028,7/18/2024,STORE001,PROD0210,CUST0836,5,3268.07,16340.35,10,1634.035,14706.315,North,In-Store,Cash
SALE00029,1/30/2023,STORE004,PROD0050,CUST0431,2,1883.93,3767.86,10,376.786,3391.074,East,Online,UPI
SALE00030,1/15/2023,STORE021,PROD0011,CUST0667,5,1286.58,6432.9,5,321.645,6111.255,East,Online,UPI
SALE00031,12/10/2024,STORE027,PROD0228,CUST0307,4,274.61,1098.44,20,219.688,878.752,North,In-Store,Card
SALE00032,1/10/2024,STORE014,PROD0034,CUST0310,2,1080.67,2161.34,5,108.067,2053.273,South,In-Store,Card
SALE00033,4/4/2022,STORE012,PROD0169,CUST0975,5,1384.68,6923.4,0,0,6923.4,South,In-Store,UPI
SALE00034,10/2/2024,STORE047,PROD0247,CUST0013,2,3450.75,6901.5,0,0,6901.5,South,Online,UPI
SALE00035,6/21/2024,STORE001,PROD0277,CUST0032,3,2621.84,7865.52,10,786.552,7078.968,North,Online,Card
SALE00036,9/5/2024,STORE016,PROD0043,CUST0541,3,4205.66,12616.98,0,0,12616.98,South,Online,Cash
SALE00037,4/20/2022,STORE039,PROD0001,CUST0159,4,590.53,2362.12,5,118.106,2244.014,East,Online,UPI
SALE00038,5/24/2023,STORE016,PROD0078,CUST0345,3,1771.88,5315.64,0,0,5315.64,South,In-Store,UPI
SALE00039,4/8/2023,STORE017,PROD0043,CUST0522,5,4089.47,20447.35,20,4089.47,16357.88,North,In-Store,Cash
SALE00040,5/28/2024,STORE035,PROD0173,CUST0214,4,3235.84,12943.36,10,1294.336,11649.024,North,Online,UPI
SALE00041,3/2/2023,STORE041,PROD0099,CUST0402,1,2519.27,2519.27,5,125.9635,2393.3065,East,In-Store,UPI
SALE00042,12/22/2022,STORE042,PROD0002,CUST0115,1,1348.35,1348.35,20,269.67,1078.68,North,Online,Card
SALE00043,8/20/2024,STORE048,PROD0230,CUST0569,1,3881.16,3881.16,10,388.116,3493.044,North,Online,Card
SALE00044,7/18/2024,STORE028,PROD0070,CUST0114,3,1601.82,4805.46,0,0,4805.46,South,Online,Cash
SALE00045,2/10/2023,STORE008,PROD0086,CUST0865,5,2972.89,14864.45,15,2229.6675,12634.7825,South,Online,UPI
SALE00046,6/29/2023,STORE017,PROD0141,CUST0161,2,883.85,1767.7,5,88.385,1679.315,North,Online,Card
SALE00047,8/15/2023,STORE013,PROD0192,CUST0934,2,5007.62,10015.24,15,1502.286,8512.954,South,Online,Cash
SALE00048,7/12/2023,STORE018,PROD0133,CUST0218,3,4510.03,13530.09,20,2706.018,10824.072,North,In-Store,Cash
SALE00049,6/3/2024,STORE013,PROD0229,CUST0430,1,2273.07,2273.07,10,227.307,2045.763,South,In-Store,Card
SALE00050,2/12/2022,STORE050,PROD0053,CUST0928,1,2696.15,2696.15,10,269.615,2426.535,East,Online,Card
SALE00051,6/24/2024,STORE031,PROD0104,CUST0534,4,3204.51,12818.04,10,1281.804,11536.236,South,Online,UPI
SALE00052,10/4/2024,STORE038,PROD0226,CUST0366,4,683.1,2732.4,0,0,2732.4,East,In-Store,Cash
SALE00053,8/3/2022,STORE040,PROD0066,CUST0545,4,3318.93,13275.72,5,663.786,12611.934,North,In-Store,Cash
SALE00054,3/31/2024,STORE049,PROD0027,CUST0380,4,422.15,1688.6,20,337.72,1350.88,East,Online,Cash
SALE00055,10/25/2023,STORE001,PROD0120,CUST0086,1,1697.19,1697.19,0,0,1697.19,North,In-Store,UPI
SALE00056,8/4/2024,STORE006,PROD0086,CUST0365,1,2970.86,2970.86,15,445.629,2525.231,North,Online,Card
SALE00057,10/17/2024,STORE027,PROD0057,CUST0950,5,2524.9,12624.5,15,1893.675,10730.825,North,Online,Card
